ID,Recipe,Produced,Link,Ordered 0,I want,I have,Ingredients,Ing 1,Amt 1,,Ing 2,Amt 2,,Ing 3,Amt 3,,Ing 4,Amt 4,,Ing 5,Amt 5,,Ing 6,Amt 6,,Ing 7,Amt 7,,Ing 8,Amt 8,,Ing 9,Amt 9,,Ing 10,Amt 10,,Ing 11,Amt 11,,Dup,Category,Skill,Skill Req,Value,Markup,Value Per,Profit,Npc Value,Price Override,Found Where,Notes,Icon,Ordered Value 0,Markup %,CraftCount,Target Items 0,Item Count,Craft Order,,IconName,,,Material Bonus1,,Material Bonus2,,Material Bonus3,,Material Bonus4,,Material Bonus5,,Material Bonus6,Weight,Min Damage,Damage / Max Damage,SDD,StrMod,DexMultipler,IntMultipler,Critical,Range,Durability,Damage Resistance,Damage Absorption,Damage Avoidance,Fizzle,Slugs,Weapon Damage,Weapon Critical,,,,,,,Source,EndRecipe,LinkSingle1,Total from Base,BlackBar,ID#,Search1,Search2,RecipeName,Tool List,Price0,Price1,Price2,Price3,Price4,Price5,Price6,Price7,Price8,Price9,Price10,,,Icon_Filenames,Sort
1Wx1Hx1L Rough Stone Cube Block#_008f71a035245bfa89347a94ac13f855,1Wx1Hx1L Rough Stone Cube Block,1,,0,,,"Smelting Tongs, Stone Chisel, (5)Granite Block, Protractor Angle Finder",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,5,0,Protractor Angle Finder,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,55.00,5.00,50,-47.50,5,,,,RoughStoneBlock_1x1x1,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,32,,,1Wx1Hx1L Rough Stone Cube Block,Smelting Tongs,,,,,,,,,,,,,,,
1Wx1Hx2L Rough Stone Rectangle Block#_759ace1784a2ca2b3ef31eec6b70e105,1Wx1Hx2L Rough Stone Rectangle Block,1,,0,,,"Smelting Tongs, Stone Chisel, (22)Granite Block, Protractor Angle Finder",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,22,0,Protractor Angle Finder,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,148.50,13.50,135,-125.00,20,,,,RoughStoneBlock_2x1x1,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,37,,,1Wx1Hx2L Rough Stone Rectangle Block,Stone Chisel,,,,,,,,,,,,,,,
1Wx2Hx2L Rough Stone Square Block#_768419b2680e7518339d15e374471892,1Wx2Hx2L Rough Stone Square Block,1,,0,,,"Smelting Tongs, Stone Chisel, (20)Granite Block",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,20,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,110.00,10.00,100,-90.00,20,,,,RoughStoneBlock_2x1x2,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,34,,,1Wx2Hx2L Rough Stone Square Block,Mortar and Pestle,,,,,,,,,,,,,,,
1Wx4Hx1L Rough Stone Rectangle Block#_9a8298e2a53527d9dda10a4814531de5,1Wx4Hx1L Rough Stone Rectangle Block,1,,0,,,"Smelting Tongs, Stone Chisel, (15)Granite Block",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,15,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,82.50,7.50,75,-67.50,15,,,,RoughStoneBlock_1x1x4,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,37,,,1Wx4Hx1L Rough Stone Rectangle Block,Cleaver,,,,,,,,,,,,,,,
1Wx4Hx2L Rough Stone Rectangle Block#_417de3113c420844f3b0ed08c0b8efe8,1Wx4Hx2L Rough Stone Rectangle Block,1,,0,,,"Smelting Tongs, Stone Chisel, (25)Granite Block",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,25,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,137.50,12.50,125,-112.50,25,,,,RoughStoneBlock_2x1x4,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,1,,37,,,1Wx4Hx2L Rough Stone Rectangle Block,Tailoring Scissors,,,,,,,,,,,,,,,
1Wx4Hx4L Rough Stone Square Block#_15f516a465f8e666299172bf2436ecc2,1Wx4Hx4L Rough Stone Square Block,1,,0,,,"Smelting Tongs, Stone Chisel, (62)Granite Block",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,62,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,341.00,31.00,310,-280.00,60,,,,RoughStoneBlock_4x1x4,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,34,,,1Wx4Hx4L Rough Stone Square Block,Carpentry Hammer,,,,,,,,,,,,,,,
1Wx6Hx6L Rough Stone Arch Block#_bf2ae41d258b4e021553fc28a197c9ea,1Wx6Hx6L Rough Stone Arch Block,1,,0,,,"Smelting Tongs, Stone Chisel, (150)Granite Block",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,150,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,825.00,75.00,750,-732.50,35,,,,RoughStoneBlock_Arch,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,32,,,1Wx6Hx6L Rough Stone Arch Block,Wood Rasp,,,,,,,,,,,,,,,
2Wx2Hx2L Rough Stone Cube Block#_e4f7287511497f3ce86d450285650de9,2Wx2Hx2L Rough Stone Cube Block,1,,0,,,"Smelting Tongs, Stone Chisel, (30)Granite Block",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,30,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,165.00,15.00,150,-135.00,30,,,,RoughStoneBlock_2x2x2,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,32,,,2Wx2Hx2L Rough Stone Cube Block,Tanning Knife,,,,,,,,,,,,,,,
2Wx4Hx2L Rough Stone Rectangle Block#_f8278099688687f1003f8e25399e049b,2Wx4Hx2L Rough Stone Rectangle Block,1,,0,,,"Smelting Tongs, Stone Chisel, (52)Granite Block",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,52,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,286.00,26.00,260,-235.00,50,,,,RoughStoneBlock_2x2x4,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,37,,,2Wx4Hx2L Rough Stone Rectangle Block,Smithing Hammer,,,,,,,,,,,,,,,
2Wx4Hx4L Rough Stone Square Block#_4454c8fb4ec8a646672a9407978e0e13,2Wx4Hx4L Rough Stone Square Block,1,,0,,,"Smelting Tongs, Stone Chisel, (100)Granite Block",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,100,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,550.00,50.00,500,-450.00,100,,,,RoughStoneBlock_4x2x4,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,34,,,2Wx4Hx4L Rough Stone Square Block,Arrow Head Mold,,,,,,,,,,,,,,,
