Recipe Name,Ingredients,Cost to Make,Npc Value,Profit,Type,Table
1Wx1Hx1L Rough Stone Cube Block,"Smelting Tongs, Stone Chisel, (5)Granite Block",25,5,-22.5,Refining,Smelting
1Wx1Hx2L Rough Stone Rectangle Block,"Smelting Tongs, Stone Chisel, (22)Granite Block",110,20,-100,Refining,Smelting
1Wx2Hx2L Rough Stone Square Block,"Smelting Tongs, Stone Chisel, (20)Granite Block",100,20,-90,Refining,Smelting
1Wx4Hx1L Rough Stone Rectangle Block,"Smelting Tongs, Stone Chisel, (15)Granite Block",75,15,-67.5,Refining,Smelting
1Wx4Hx2L Rough Stone Rectangle Block,"Smelting Tongs, Stone Chisel, (25)Granite Block",125,25,-112.5,Refining,Smelting
1Wx4Hx4L Rough Stone Square Block,"Smelting Tongs, Stone Chisel, (62)Granite Block",310,60,-280,Refining,Smelting
1Wx6Hx6L Rough Stone Arch Block,"Smelting Tongs, Stone Chisel, (150)Granite Block",750,35,-732.5,Refining,Smelting
2Wx2Hx2L Rough Stone Cube Block,"Smelting Tongs, Stone Chisel, (30)Granite Block",150,30,-135,Refining,Smelting
2Wx4Hx2L Rough Stone Rectangle Block,"Smelting Tongs, Stone Chisel, (52)Granite Block",260,50,-235,Refining,Smelting
2Wx4Hx4L Rough Stone Square Block,"Smelting Tongs, Stone Chisel, (100)Granite Block",500,100,-450,Refining,Smelting
4Wx4Hx4L Rough Stone Cube Block,"Smelting Tongs, Stone Chisel, (200)Granite Block",1000,200,-900,Refining,Smelting
Amethyst Fragment,,1,1,-0.5,Gathering,Gathering
Amethyst,"Mortar and Pestle, (400)Amethyst Fragment, (10)Mandrake Root",420,200,-320,Production,Alchemy
Animal Bone,"Cleaver, Sheep Carcass",1,1,-0.5,Refining,Butchery
Animal Bone,"Cleaver, Pig Carcass",3,,-3,Refining,Butchery
Animal Bone,"Cleaver, Deer Carcass",1,,-1,Refining,Butchery
Animal Collar,"Tailoring Scissors, Metal Binding, (2)Strap",36,40,-16,Production,Tailoring
Animal Hide,,8,8,-4,Gathering,Gathering
Animal whistle,"Carpentry Hammer, Wood Rasp, Wooden Pole",12,2,-11,Production,Carpentry
Apple,,1,1,-0.5,Gathering,Gathering
Aqua Dye,"Tanning Knife, (4)Maple Tree Bark, Pine Resin, (2)Chunk of Coal",174,,-174,Refining,Tanning
Arrow Head Mold,,0,,0,Tool,Tool
Arrow,"Carpentry Hammer, Wooden Boards, (5)Bundle of Feathers, Arrowheads",36,0,-36,Production,Carpentry
Arrowheads,"Smithing Hammer, Arrow Head Mold, Metal Ingot",23,1,-22.5,Production,Blacksmithing
Atenism Gem,"Mortar and Pestle, Garnet, (10)Mandrake Root",440,100,-390,Production,Alchemy
Atenism Jewel,"Mortar and Pestle, Garnet, (5)Mandrake Root",430,100,-380,Production,Alchemy
Augmented Chainmail Boots,"Smithing Hammer, Wire Pliers, (2)Coil of Metal Wire, Strap, (2)Chunk of Coal",109,113,-52.5,Production,Blacksmithing
Augmented Chainmail Chest Armor,"Smithing Hammer, Wire Pliers, (8)Coil of Metal Wire, (3)Strap, (3)Metal Binding, (3)Chunk of Coal",494,223,-382.5,Production,Blacksmithing
Augmented Chainmail Chest Half-Armor,"Smithing Hammer, Wire Pliers, (6)Coil of Metal Wire, (2)Strap, (2)Metal Binding, (3)Chunk of Coal",365,,-365,Production,Blacksmithing
Augmented Chainmail Chest Quarter-Armor,"Smithing Hammer, Wire Pliers, (4)Coil of Metal Wire, (2)Strap, (2)Metal Binding, (3)Chunk of Coal",267,90,-222,Production,Blacksmithing
Augmented Chainmail Gloves,"Smithing Hammer, Wire Pliers, (2)Coil of Metal Wire, (2)Strap, (2)Chunk of Coal",114,65,-81.5,Production,Blacksmithing
Augmented Chainmail Helm,"Smithing Hammer, Wire Pliers, (3)Coil of Metal Wire, (2)Strap, Metal Binding, (2)Chunk of Coal",189,80,-149,Production,Blacksmithing
Augmented Chainmail Leggings Half-Armor,"Smithing Hammer, Wire Pliers, (4)Coil of Metal Wire, (2)Strap, (3)Chunk of Coal",215,,-215,Production,Blacksmithing
Augmented Chainmail Leggings Quarter-Armor,"Smithing Hammer, Wire Pliers, (3)Coil of Metal Wire, (2)Strap, (3)Chunk of Coal",166,,-166,Production,Blacksmithing
Augmented Chainmail Leggings,"Smithing Hammer, Wire Pliers, (5)Coil of Metal Wire, (3)Strap, (2)Metal Binding, (3)Chunk of Coal",321,182,-230,Production,Blacksmithing
Augmented Cloth Boots,"Tailoring Scissors, Bone Needle, (3)Wax, (2)Bolt of Cloth, Metal Binding",156,,-156,Production,Tailoring
Augmented Cloth Chest Armor,"Tailoring Scissors, Bone Needle, (4)Wax, (9)Bolt of Cloth, (2)Strap, (2)Metal Binding",628,,-628,Production,Tailoring
Augmented Cloth Chest Half-Armor,"Tailoring Scissors, Bone Needle, (4)Wax, (7)Bolt of Cloth, (2)Metal Binding",494,,-494,Production,Tailoring
Augmented Cloth Chest Quarter-Armor,"Tailoring Scissors, Bone Needle, (4)Wax, (5)Bolt of Cloth, (2)Metal Binding",370,,-370,Production,Tailoring
Augmented Cloth Gloves,"Tailoring Scissors, Bone Needle, (3)Wax, (2)Bolt of Cloth, (2)Metal Binding",182,,-182,Production,Tailoring
